"r1","r2","r3","r4","r5","r6","site","offset"
-0.0989988178415968,0.0912185269722359,0.485561666811396,-0.0340744480492953,-0.0744504184843652,NA,"10ABAM_OR",26
-0.0976135367031388,-0.0243320189476837,0.48839854894413,-0.0730342859991283,-0.0736282522580419,NA,"10ABAM_OR",27
-0.0986138323468689,-0.0511366010953592,0.478805041634537,-0.0811384565381703,-0.0593658936552548,NA,"10ABAM_OR",28
-0.102254418706146,-0.0281542800792148,0.393750843907639,-0.076511084437348,-0.0586928523799292,NA,"10ABAM_OR",29
-0.0581237085234848,-0.0606720225625027,0.583606201158539,0.0197983764363393,-0.0727506567438242,-0.0634039757641962,"11ABAM_OR",0
-0.0579494842946426,-0.0668600957605592,0.602479280955582,-0.0292224022976855,-0.0617217427416673,-0.0822860785830497,"11ABAM_OR",1
-0.057656302060571,-0.0757757822590924,0.529245355142568,-0.0381799574523416,-0.059103127101746,-0.0915042279633095,"11ABAM_OR",2
-0.0575122472949279,-0.086240434727822,0.46890522642466,-0.0410928316311298,-0.058533668361738,-0.0641094272140691,"11ABAM_OR",3
-0.0575131182333575,-0.0971975253653463,0.479844506950351,-0.0476406159678998,-0.0579127293593897,NA,"11ABAM_OR",4
-0.0575462275231928,-0.0826677988360199,0.530983185246847,-0.0555731137498012,-0.0582195069174805,NA,"11ABAM_OR",5
-0.0576473024555849,-0.0668059993488954,0.581818851351632,-0.0642629716607594,-0.0579055374395408,NA,"11ABAM_OR",6
-0.0578490394949611,-0.0458479519777652,0.652246450868581,-0.0714782508203872,-0.0574252624750211,NA,"11ABAM_OR",7
-0.0581827610102079,0.156692843508264,0.791183663456904,-0.0715913626101571,-0.0570593435091736,NA,"11ABAM_OR",8
-0.0592479874100999,0.561970130593023,0.778768329982707,-0.0695335908206615,-0.0569567102861365,NA,"11ABAM_OR",9
-0.0602747763826501,0.60514770286967,0.782868538826618,-0.0551404246931457,-0.0569253069202927,NA,"11ABAM_OR",10
-0.0617068177648913,0.610114380344505,0.797160791836986,-0.0519237121525321,-0.0569113972979987,NA,"11ABAM_OR",11
-0.0627835900965882,0.610231689768214,0.832065601440622,-0.0638464881458684,-0.0569069461443056,NA,"11ABAM_OR",12
-0.0636501944041407,0.630910942773477,0.884007929260308,-0.0727025163864821,-0.0568929302743093,NA,"11ABAM_OR",13
-0.0705968081191958,0.662586428029689,0.810670803156778,-0.0853204590019061,-0.0568288137763911,NA,"11ABAM_OR",14
-0.0818833204380923,0.676348425144902,0.727879553019059,-0.0851107570725083,-0.0567734568165291,NA,"11ABAM_OR",15
